Species	Leaf.max.lenght (mm)	Leaf.max.lenght reference	Leaf.max.width (mm)	Leaf.max.width reference	Reproduction.mode	Reproduction.mode reference	Seed.bank.type	Seed.bank.type	Seed.max.size (mm)	Seed.max.size reference	Seeds.per.fruit 	Seeds.per.fruit  reference		
Halodule uninervis	139	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Persistent	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	2,5	Inglis, G.J. (2000). Disturbance-related heterogeneity in the seed banks of a marine angiosperm. Journal of Ecology, 88, 88-99. 	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halodule wrightii	400	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	1	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Dioecious	van Tussenbroek, B. I., Barba-Santos, M. G., Wong, J. G. R., van Dijk, J. K., Waycott, M., & Esparza, E. (2010). A Guide to the tropical seagrasses of the Western Atlantic. Universidad Nacional Autónoma de MéxicoI, SBN: 978-607-02-1222-2.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	2,5	Calvin McMillan, C. (1981). Seed reserves and seed germination for two seagrasses, Halodule wrightii and Syringodium filiforme, from the western Atlantic. Aquatic Botany, 11, 279-296.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila australis	70	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	20	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	0,75	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	70	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.		
Halophila baillonis	22	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	8	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Dioecious	"Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants 2020, 9, 1732; doi:10.3390/plants9121732."	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecolo	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila beccarii	11	Mishra, A.K., & Apte, D. (2021). The current status of Halophila beccarii: An ecologically significant, yet vulnerable seagrass of India. Ocean & Coastal Management, 200, 105484.	20	Mishra, A.K., & Apte, D. (2021). The current status of Halophila beccarii: An ecologically significant, yet vulnerable seagrass of India. Ocean & Coastal Management, 200, 105484.	Monoecious	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila capricorni	30	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	9	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Monoecious	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Persistent	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila decipiens	250	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	60	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Monoecious	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Persistent	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	0,5	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	30	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 		
Halophila engelmannii	30	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	6	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Dioecious	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants 2020, 9, 1732.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila hawaiiana	20	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	5	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Monoecious	Herbert, D. A. (1986). Staminate flowers of Halophila hawaiiana: description and notes on its flowering ecology. Aquatic Botany, 25, 97-102.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila major	300	Tuntiprapas, P., Shimada, S., Pongparadon, S., & Prathep, A. (2015). Is Halophila major (Zoll.) Miquel a big H. ovalis (R. Brown) J.D. Hooker? An evaluation based on age, morphology, and ITS sequence. ScienceAsia, 41, 79–86.	15	Tuntiprapas, P., Shimada, S., Pongparadon, S., & Prathep, A. (2015). Is Halophila major (Zoll.) Miquel a big H. ovalis (R. Brown) J.D. Hooker? An evaluation based on age, morphology, and ITS sequence. ScienceAsia, 41, 79–86.	Dioecious	Jewett-Smith, J., McMillan, C., Kenworthy, W. J., & Bird, K. (1997). Flowering and genetic banding patterns of Halophila johnsonii and conspecifics. Aquatic Botany, 59(3-4), 323-331.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila nipponica	30	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	13	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Dioecious	Jewett-Smith, J., McMillan, C., Kenworthy, W. J., & Bird, K. (1997). Flowering and genetic banding patterns of Halophila johnsonii and conspecifics. Aquatic Botany, 59(3-4), 323-331.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Halophila minor	10	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	5	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	0,5	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	30	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.		
Halophila ovalis	18	Tuntiprapas, P., Shimada, S., Pongparadon, S., & Prathep, A. (2015). Is Halophila major (Zoll.) Miquel a big H. ovalis (R. Brown) J.D. Hooker? An evaluation based on age, morphology, and ITS sequence. ScienceAsia, 41, 79–86.	70	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Dioecious	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1,3	Ruiz-Montoya, L., R. J. Lowe, K. P. Van Niel, & Kendrick, G.A. (2012). The role of hydrodynamics on seed dispersal in seagrasses. Limnology and Oceanography, 57(5), 1257–1265.	30	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.		
Halophila spinulosa	20	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	3,5	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Dioecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	0,5	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	30	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 		
Halophila stipulacea	60	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	10	Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants, 9, 1732.	Dioecious	"Kuo, K. (2020). Taxonomy of the Genus Halophila Thouars (Hydocharitaceae): A Review. Plants 2020, 9, 1732; doi:10.3390/plants9121732."	Persistent	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	60	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
